step,mass_sol,mass_kg,r_schwarzschild_km,r_core_km,r_core_planck,rho_coherence,time_dilation,coherence_strength,coherence_challenge,maintains_coherence,status,is_finite
0,1.0,1.98847e+30,2.9533393820668783,8.081275000000001e-38,5.0,8.99478478580573e+131,3.6545463210531484e+37,1.1,0.0,True,COHERENT CORE,True
1,1.0520686710236231,2.0920069902703438e+30,3.107115838772829,8.219169090312991e-38,5.085317038656023,8.99478478580573e+131,3.7803284062312773e+37,1.0977980191071084,0.022044088176352724,True,COHERENT CORE,True
2,1.1068484885494125,2.2009350140258504e+30,3.2688992312141805,8.359416123712715e-38,5.172089876729053,8.994784785805734e+131,3.910439656116013e+37,1.0956008869340697,0.044088176352705455,True,COHERENT CORE,True
3,1.1644806183726861,2.3155347752155352e+30,3.4391064698936455,8.50205624942643e-38,5.260343355118116,8.99478478580573e+131,4.045029071791493e+37,1.0934085928040949,0.06613226452905809,True,COHERENT CORE,True
4,1.2251135766041188,2.4361015936699922e+30,3.6181761732897515,8.64713030176403e-38,5.3501027385926285,8.994784785805732e+131,4.184250782657499e+37,1.091221126063906,0.08817635270541083,True,COHERENT CORE,True
5,1.2889036123908928,2.5629461661309187e+30,3.806569798162287,8.794679811807883e-38,5.441393723025069,8.994784785805732e+131,4.328264222935693e+37,1.0890384760836829,0.1102204408817635,True,COHERENT CORE,True
6,1.3560151105656337,2.696395366906446e+30,4.004772828711259,8.944747019302155e-38,5.534242442747063,8.99478478580573e+131,4.4772343142508465e+37,1.086860632257012,0.13226452905811625,True,COHERENT CORE,True
7,1.4266210152607375,2.8367930902155185e+30,4.213296027653769,9.097374884744983e-38,5.628675478030993,8.994784785805732e+131,4.631331654496148e+37,1.0846875840008352,0.15430861723446893,True,COHERENT CORE,True
8,1.500903275579736,2.984501136392038e+30,4.432676752442811,9.252607101687007e-38,5.724719862699269,8.994784785805732e+131,4.790732713198869e+37,1.0825193207553978,0.17635270541082165,True,COHERENT CORE,True
9,1.5790533144741756,3.139900144232464e+30,4.663480340019818,9.41048810923973e-38,5.822403091863431,8.994784785805735e+131,4.955620033610116e+37,1.0803558319841975,0.19839679358717438,True,COHERENT CORE,True
10,1.661272522034293,3.3033905718895303e+30,4.906301563669444,9.571063104797341e-38,5.921753129795324,8.994784785805729e+131,5.126182441750111e+37,1.0781971071739336,0.22044088176352705,True,COHERENT CORE,True
11,1.7477727744646814,3.4753937288397847e+30,5.161766165730835,9.734378056975585e-38,6.022798417932557,8.994784785805732e+131,5.302615262648394e+37,1.0760431358344547,0.2424849699398798,True,COHERENT CORE,True
12,1.8387769800823277,3.6563528615843064e+30,5.430532470115143,9.90047971877145e-38,6.125567883020594,8.994784785805734e+131,5.485120544026544e+37,1.0738939074987093,0.2645290581162325,True,COHERENT CORE,True
13,1.9345196537440454,3.846734295880422e+30,5.7132930787846705,1.006941564094737e-37,6.230090945393746,8.99478478580573e+131,5.673907287679647e+37,1.0717494117226936,0.2865731462925852,True,COHERENT CORE,True
